=== RAPORT Z EWALUACJI ===
   test_id  faithfulness  answer_relevancy  answer_correctness
0   Test_1        0.6000            0.7954              0.5564
1   Test_2        0.2857            0.7856              0.4660
2   Test_3        0.2500            0.7666              0.5504
3   Test_4        0.5000            0.8365              0.5012
4   Test_5        0.3333            0.8046              0.5175
5   Test_6        0.0000            0.7370              0.6387
6   Test_7        0.3333            0.8082              0.4668
7   Test_8        0.0000            0.7809              0.5966
8   Test_9        0.0000            0.7640              0.5957
9  Test_10        0.3333            0.7981              0.5500
